id,city,country
884,East Lincoln,Bosnia and Herzegovina
885,East Irwin,Montserrat
886,New Jonathonside,Tajikistan
887,Labadieburgh,Comoros
888,Bartolettiview,Union of Soviet Socialist Republics
889,New Hannah,American Samoa
890,South Angel,South Korea
891,Fisherborough,Uruguay
892,South Orin,Israel
893,West Neil,Guatemala
894,South Aminastad,Iceland
895,Kochport,Moldova
896,Lake Martinaport,Japan
897,New Tavaresshire,Liberia
898,South Camyllefurt,Dronning Maud Land
899,Port Arianechester,Cambodia
900,Brandynton,Northern Mariana Islands
901,Port Noemi,Bulgaria
902,New Brooks,Congo - Brazzaville
903,Lake Isaiasport,Saint Kitts and Nevis
904,Cristberg,Italy
905,East Perryhaven,Kyrgyzstan
906,East Allan,Faroe Islands
907,Alexanderview,Djibouti
908,Baileefort,Kuwait
909,North Maddisonhaven,Malawi
910,Naderfurt,Sri Lanka
911,Port Valentinstad,Slovakia
912,Sauerfurt,Sweden
913,New Gaetanochester,U.S. Minor Outlying Islands
914,Borerfurt,Denmark
915,Lynchland,Niue
916,East Darrin,Slovenia
917,Lubowitzton,Canada
918,New Joannie,Malaysia
919,Helenetown,Iran
920,Jenkinsfort,Serbia
921,East Franzton,Italy
922,North Joyce,Zambia
923,Olgamouth,Cameroon
924,Torreytown,U.S. Minor Outlying Islands
925,Sengerview,C̫te d�۪Ivoire
926,Stromanfort,��land Islands
927,Krajcikton,Croatia
928,East Jaunita,Guam
929,Port Daniellastad,Romania
930,South Fidelside,Kuwait
931,West Stephonmouth,Greece
932,Dominiqueburgh,Hungary
933,Port Adelle,Falkland Islands
934,Port Meredithville,Northern Mariana Islands
935,New Tristonstad,Zimbabwe
936,Rogerborough,Kiribati
937,Willyfort,Mauritius
938,North Pearlineville,Belize
939,Ernsershire,Cayman Islands
940,Collierberg,Germany
941,Weissnatshire,Costa Rica
942,Port Ezekielshire,Canada
943,South Aisha,United Arab Emirates
944,North Horacehaven,Union of Soviet Socialist Republics
945,Lake Treyhaven,Canada
946,East Justyn,Senegal
947,South Levi,Kazakhstan
948,Marcelside,Ghana
949,Colliermouth,Austria
950,Violetteborough,Madagascar
951,Lake Adele,R̩union
952,Lake Melody,Palau
953,Valentinhaven,Cayman Islands
954,South Cristinaland,Kyrgyzstan
955,Brownmouth,Panama
956,South Preciouston,R̩union
957,Schroedertown,Northern Mariana Islands
958,Waynestad,Gibraltar
959,East Maudie,Montserrat
960,Friesenside,Puerto Rico
961,North Houstonshire,Iran
962,Dollytown,Mali
963,Ginaview,Guernsey
964,Louveniaport,Congo - Brazzaville
965,New Josie,Costa Rica
966,Chaddfurt,Oman
967,New Cynthia,Canada
968,Port Reganberg,Jamaica
969,North Benton,Midway Islands
970,Lake Francescomouth,Vanuatu
971,Ritchieland,Mauritius
972,East Arlo,Montenegro
973,Farrellfort,Pacific Islands Trust Territory
974,Amelieburgh,Norway
975,Jewesshaven,Serbia
976,New Dayna,Cook Islands
977,Lake Savanna,Kazakhstan
978,South Kelvin,Suriname
979,South Kathryn,Guernsey
980,Leathamouth,Panama
981,Jacobsburgh,U.S. Minor Outlying Islands
982,New Margarette,Georgia
983,Dantemouth,Faroe Islands
984,East Rusty,Bosnia and Herzegovina
985,South Dewayne,Togo
986,Lake Anderson,Sudan
987,Schusterland,Costa Rica
988,South Meghan,Luxembourg
989,Schulistmouth,China
990,Borerland,Turks and Caicos Islands
991,Geovannymouth,Belarus
992,South Chanel,Poland
993,East Yasmeen,Wake Island
994,Rosemouth,Spain
995,Lake Maynard,Serbia and Montenegro
996,North Philip,Antarctica
997,Aidenchester,Nicaragua
998,Keshaunberg,Brazil
999,Fernandoview,Gambia
